job_id,job_type,team,priority,region,submit_time,earliest_start_time,deadline,runtime_hours,power_kw,deferrable,container_image,cpu_request,memory_request,carbon_budget_kg
GS-JOB-000028,DATA_PROCESSING,operations,MEDIUM,SE,2026-04-02T08:15:00+00:00,2026-04-02T08:15:00+00:00,2026-04-02T12:00:00+00:00,0.62,2.9,TRUE,greenshift/sample-workload:latest,250m,512Mi,1.89
GS-JOB-000029,ETL,data-engineering,MEDIUM,AU-SA-Large,2026-04-02T09:15:00+00:00,2026-04-02T09:15:00+00:00,2026-04-03T08:38:00+00:00,2.22,3.1,TRUE,greenshift/sample-workload:latest,500m,1Gi,6.62
GS-JOB-000030,ANALYTICS,ml-platform,MEDIUM,AU-SA-Small,2026-04-02T09:45:00+00:00,2026-04-02T09:45:00+00:00,2026-04-02T10:31:12+00:00,0.77,3.1,FALSE,greenshift/sample-workload:latest,500m,1Gi,3.63
GS-JOB-000031,BACKUP,operations,HIGH,IN-TG,2026-04-02T10:00:00+00:00,2026-04-02T10:00:00+00:00,2026-04-02T10:55:48+00:00,0.93,3.8,FALSE,greenshift/sample-workload:latest,500m,1Gi,5.48
GS-JOB-000032,ANALYTICS,ml-platform,HIGH,IN-GJ,2026-04-02T10:45:00+00:00,2026-04-02T10:45:00+00:00,2026-04-02T11:37:48+00:00,0.88,3.1,FALSE,greenshift/sample-workload:latest,500m,1Gi,3.84
GS-JOB-000033,ETL,data-engineering,HIGH,IN-WB,2026-04-02T11:00:00+00:00,2026-04-02T11:00:00+00:00,2026-04-02T16:58:00+00:00,1.9,2.5,TRUE,greenshift/sample-workload:latest,250m,512Mi,5.19
GS-JOB-000034,DATA_PROCESSING,finance,MEDIUM,IN-PB,2026-04-02T11:30:00+00:00,2026-04-02T11:30:00+00:00,2026-04-02T17:29:00+00:00,0.62,3.8,TRUE,greenshift/sample-workload:latest,500m,1Gi,2.95
GS-JOB-000035,ETL,finance,MEDIUM,US-CA,2026-04-02T11:45:00+00:00,2026-04-02T11:45:00+00:00,2026-04-03T07:17:00+00:00,3.77,4.9,TRUE,greenshift/sample-workload:latest,500m,1Gi,22.53
GS-JOB-000036,BACKUP,operations,HIGH,US-NY,2026-04-02T12:00:00+00:00,2026-04-02T12:00:00+00:00,2026-04-02T14:33:00+00:00,2.55,2.8,FALSE,greenshift/sample-workload:latest,250m,512Mi,11.03
GS-JOB-000037,DATA_PROCESSING,finance,LOW,US-TX,2026-04-02T12:15:00+00:00,2026-04-02T12:15:00+00:00,2026-04-02T14:46:00+00:00,0.43,3.4,TRUE,greenshift/sample-workload:latest,500m,1Gi,1.78
GS-JOB-000038,ML_TRAINING,ml-platform,CRITICAL,SE,2026-04-02T13:00:00+00:00,2026-04-02T13:00:00+00:00,2026-04-02T20:25:12+00:00,7.42,18.0,FALSE,greenshift/sample-workload:latest,2000m,4Gi,193.88
GS-JOB-000039,DATA_PROCESSING,operations,MEDIUM,AU-SA-Large,2026-04-02T13:45:00+00:00,2026-04-02T13:45:00+00:00,2026-04-02T20:23:00+00:00,0.68,1.9,TRUE,greenshift/sample-workload:latest,250m,512Mi,1.37
GS-JOB-000040,ML_TRAINING,ml-platform,MEDIUM,AU-SA-Small,2026-04-02T14:15:00+00:00,2026-04-02T14:15:00+00:00,2026-04-03T16:18:00+00:00,4.7,24.4,TRUE,greenshift/sample-workload:latest,2000m,4Gi,127.8
GS-JOB-000041,ETL,data-engineering,MEDIUM,IN-TG,2026-04-02T14:45:00+00:00,2026-04-02T14:45:00+00:00,2026-04-02T17:19:48+00:00,2.58,4.3,FALSE,greenshift/sample-workload:latest,500m,1Gi,15.35
GS-JOB-000042,REPORT_GENERATION,operations,HIGH,IN-GJ,2026-04-02T15:00:00+00:00,2026-04-02T15:00:00+00:00,2026-04-02T19:52:00+00:00,0.6,2.8,TRUE,greenshift/sample-workload:latest,250m,256Mi,1.51
GS-JOB-000043,REPORT_GENERATION,finance,HIGH,IN-WB,2026-04-02T15:15:00+00:00,2026-04-02T15:15:00+00:00,2026-04-02T15:52:12+00:00,0.62,4.7,FALSE,greenshift/sample-workload:latest,500m,1Gi,3.57
GS-JOB-000044,DATA_PROCESSING,analytics,MEDIUM,IN-PB,2026-04-02T18:00:00+00:00,2026-04-02T18:00:00+00:00,2026-04-03T07:30:00+00:00,1.28,3.4,TRUE,greenshift/sample-workload:latest,500m,1Gi,4.95
GS-JOB-000045,ETL,finance,MEDIUM,US-CA,2026-04-02T20:45:00+00:00,2026-04-02T20:45:00+00:00,2026-04-03T03:02:00+00:00,2.5,5.6,TRUE,greenshift/sample-workload:latest,500m,1Gi,17.04
GS-JOB-000046,REPORT_GENERATION,finance,HIGH,US-NY,2026-04-02T21:00:00+00:00,2026-04-02T21:00:00+00:00,2026-04-03T02:15:00+00:00,2.12,2.9,TRUE,greenshift/sample-workload:latest,250m,256Mi,5.92
GS-JOB-000047,ANALYTICS,operations,LOW,US-TX,2026-04-02T21:15:00+00:00,2026-04-02T21:15:00+00:00,2026-04-02T21:58:12+00:00,0.72,4.3,FALSE,greenshift/sample-workload:latest,500m,1Gi,4.29
GS-JOB-000048,DATA_PROCESSING,operations,LOW,SE,2026-04-02T21:30:00+00:00,2026-04-02T21:30:00+00:00,2026-04-03T10:06:00+00:00,0.95,2.1,TRUE,greenshift/sample-workload:latest,250m,512Mi,1.78
GS-JOB-000049,IMAGE_PROCESSING,analytics,MEDIUM,AU-SA-Large,2026-04-02T23:45:00+00:00,2026-04-02T23:45:00+00:00,2026-04-04T04:43:00+00:00,4.22,6.8,TRUE,greenshift/sample-workload:latest,1000m,2Gi,30.91
GS-JOB-000050,ETL,data-engineering,MEDIUM,AU-SA-Small,2026-04-03T01:00:00+00:00,2026-04-03T01:00:00+00:00,2026-04-03T10:15:00+00:00,1.9,9.5,TRUE,greenshift/sample-workload:latest,1000m,2Gi,16.82
GS-JOB-000051,BACKUP,operations,HIGH,IN-TG,2026-04-03T03:15:00+00:00,2026-04-03T03:15:00+00:00,2026-04-03T07:34:00+00:00,0.95,3.2,TRUE,greenshift/sample-workload:latest,500m,1Gi,3.65
GS-JOB-000052,ANALYTICS,ml-platform,MEDIUM,IN-GJ,2026-04-03T05:00:00+00:00,2026-04-03T05:00:00+00:00,2026-04-03T06:03:00+00:00,1.05,3.7,FALSE,greenshift/sample-workload:latest,500m,1Gi,4.92
GS-JOB-000053,ETL,data-engineering,LOW,IN-WB,2026-04-03T06:00:00+00:00,2026-04-03T06:00:00+00:00,2026-04-03T08:42:00+00:00,0.77,6.7,TRUE,greenshift/sample-workload:latest,1000m,2Gi,6.11
GS-JOB-000054,BACKUP,operations,HIGH,IN-PB,2026-04-03T07:45:00+00:00,2026-04-03T07:45:00+00:00,2026-04-03T15:18:00+00:00,1.08,6.9,TRUE,greenshift/sample-workload:latest,1000m,2Gi,8.5
GS-JOB-000055,REPORT_GENERATION,finance,HIGH,US-CA,2026-04-03T09:30:00+00:00,2026-04-03T09:30:00+00:00,2026-04-03T11:49:12+00:00,2.32,1.9,FALSE,greenshift/sample-workload:latest,250m,256Mi,6.54
GS-JOB-000056,ETL,finance,MEDIUM,US-NY,2026-04-03T11:15:00+00:00,2026-04-03T11:15:00+00:00,2026-04-04T02:44:00+00:00,3.8,8.0,TRUE,greenshift/sample-workload:latest,1000m,2Gi,32.72
GS-JOB-000057,BACKUP,operations,MEDIUM,US-TX,2026-04-03T17:45:00+00:00,2026-04-03T17:45:00+00:00,2026-04-04T05:26:00+00:00,1.05,4.3,TRUE,greenshift/sample-workload:latest,500m,1Gi,6.04
GS-JOB-000058,ETL,data-engineering,MEDIUM,SE,2026-04-03T18:15:00+00:00,2026-04-03T18:15:00+00:00,2026-04-04T12:24:00+00:00,1.43,9.7,TRUE,greenshift/sample-workload:latest,1000m,2Gi,13.42
GS-JOB-000059,DATA_PROCESSING,operations,MEDIUM,AU-SA-Large,2026-04-03T18:15:00+00:00,2026-04-03T18:15:00+00:00,2026-04-03T22:33:00+00:00,1.17,1.7,TRUE,greenshift/sample-workload:latest,250m,512Mi,2.67
GS-JOB-000060,ETL,finance,LOW,AU-SA-Small,2026-04-03T19:15:00+00:00,2026-04-03T19:15:00+00:00,2026-04-04T22:48:00+00:00,1.82,5.9,TRUE,greenshift/sample-workload:latest,500m,1Gi,10.42
GS-JOB-000061,ETL,data-engineering,MEDIUM,IN-TG,2026-04-03T21:30:00+00:00,2026-04-03T21:30:00+00:00,2026-04-04T07:29:00+00:00,3.1,8.6,TRUE,greenshift/sample-workload:latest,1000m,2Gi,30.17
GS-JOB-000062,REPORT_GENERATION,finance,MEDIUM,IN-GJ,2026-04-03T22:15:00+00:00,2026-04-03T22:15:00+00:00,2026-04-04T23:02:00+00:00,1.67,2.6,TRUE,greenshift/sample-workload:latest,250m,256Mi,5.73
GS-JOB-000063,ETL,analytics,MEDIUM,IN-WB,2026-04-04T03:30:00+00:00,2026-04-04T03:30:00+00:00,2026-04-05T20:02:00+00:00,0.53,2.3,TRUE,greenshift/sample-workload:latest,250m,512Mi,1.36
GS-JOB-000064,ETL,data-engineering,MEDIUM,IN-PB,2026-04-04T04:00:00+00:00,2026-04-04T04:00:00+00:00,2026-04-04T07:39:00+00:00,3.65,5.7,FALSE,greenshift/sample-workload:latest,500m,1Gi,27.82
GS-JOB-000065,REPORT_GENERATION,finance,LOW,US-CA,2026-04-04T06:00:00+00:00,2026-04-04T06:00:00+00:00,2026-04-04T14:17:00+00:00,0.87,3.6,TRUE,greenshift/sample-workload:latest,500m,1Gi,3.45
GS-JOB-000066,REPORT_GENERATION,ml-platform,LOW,US-NY,2026-04-04T06:15:00+00:00,2026-04-04T06:15:00+00:00,2026-04-05T13:51:00+00:00,2.77,3.5,TRUE,greenshift/sample-workload:latest,500m,1Gi,9.47
GS-JOB-000067,BACKUP,finance,MEDIUM,US-TX,2026-04-04T06:45:00+00:00,2026-04-04T06:45:00+00:00,2026-04-05T01:34:00+00:00,1.97,2.2,TRUE,greenshift/sample-workload:latest,250m,512Mi,4.02
GS-JOB-000068,REPORT_GENERATION,finance,MEDIUM,SE,2026-04-04T07:15:00+00:00,2026-04-04T07:15:00+00:00,2026-04-04T07:49:48+00:00,0.58,4.7,FALSE,greenshift/sample-workload:latest,500m,1Gi,4.05
GS-JOB-000069,IMAGE_PROCESSING,analytics,MEDIUM,AU-SA-Large,2026-04-04T08:15:00+00:00,2026-04-04T08:15:00+00:00,2026-04-05T04:40:00+00:00,3.63,6.2,TRUE,greenshift/sample-workload:latest,1000m,2Gi,28.02
GS-JOB-000070,ETL,data-engineering,MEDIUM,AU-SA-Small,2026-04-04T08:45:00+00:00,2026-04-04T08:45:00+00:00,2026-04-05T06:42:00+00:00,1.4,8.4,TRUE,greenshift/sample-workload:latest,1000m,2Gi,13.81
GS-JOB-000071,BACKUP,operations,HIGH,IN-TG,2026-04-04T09:30:00+00:00,2026-04-04T09:30:00+00:00,2026-04-04T13:47:00+00:00,2.97,3.9,TRUE,greenshift/sample-workload:latest,500m,1Gi,13.88
GS-JOB-000072,ETL,operations,HIGH,IN-GJ,2026-04-04T10:00:00+00:00,2026-04-04T10:00:00+00:00,2026-04-04T16:30:00+00:00,1.78,4.1,TRUE,greenshift/sample-workload:latest,500m,1Gi,7.98
GS-JOB-000073,ANALYTICS,finance,LOW,IN-WB,2026-04-04T10:45:00+00:00,2026-04-04T10:45:00+00:00,2026-04-04T11:43:12+00:00,0.97,4.6,FALSE,greenshift/sample-workload:latest,500m,1Gi,5.56
GS-JOB-000074,DATA_PROCESSING,finance,MEDIUM,IN-PB,2026-04-04T11:30:00+00:00,2026-04-04T11:30:00+00:00,2026-04-06T04:54:00+00:00,1.4,3.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,4.62
GS-JOB-000075,DATA_PROCESSING,analytics,MEDIUM,US-CA,2026-04-04T14:00:00+00:00,2026-04-04T14:00:00+00:00,2026-04-04T15:41:00+00:00,0.57,3.5,TRUE,greenshift/sample-workload:latest,500m,1Gi,2.45
GS-JOB-000076,DATA_PROCESSING,analytics,LOW,US-NY,2026-04-04T15:00:00+00:00,2026-04-04T15:00:00+00:00,2026-04-05T11:24:00+00:00,1.03,2.2,TRUE,greenshift/sample-workload:latest,250m,512Mi,2.79
GS-JOB-000077,ML_TRAINING,ml-platform,HIGH,US-TX,2026-04-04T15:30:00+00:00,2026-04-04T15:30:00+00:00,2026-04-05T04:44:00+00:00,7.55,37.1,TRUE,greenshift/sample-workload:latest,2000m,4Gi,374.65
GS-JOB-000078,BACKUP,operations,MEDIUM,SE,2026-04-04T17:30:00+00:00,2026-04-04T17:30:00+00:00,2026-04-05T02:28:00+00:00,1.32,6.3,TRUE,greenshift/sample-workload:latest,1000m,2Gi,10.69
GS-JOB-000079,DATA_PROCESSING,operations,MEDIUM,AU-SA-Large,2026-04-04T17:45:00+00:00,2026-04-04T17:45:00+00:00,2026-04-05T23:09:00+00:00,0.85,2.2,TRUE,greenshift/sample-workload:latest,250m,512Mi,2.24
GS-JOB-000080,IMAGE_PROCESSING,analytics,CRITICAL,AU-SA-Small,2026-04-04T20:30:00+00:00,2026-04-04T20:30:00+00:00,2026-04-04T21:46:12+00:00,1.27,9.9,FALSE,greenshift/sample-workload:latest,1000m,2Gi,17.86
GS-JOB-000081,ETL,analytics,MEDIUM,IN-TG,2026-04-04T22:00:00+00:00,2026-04-04T22:00:00+00:00,2026-04-05T01:34:12+00:00,3.57,5.4,FALSE,greenshift/sample-workload:latest,500m,1Gi,31.27
GS-JOB-000082,ETL,data-engineering,CRITICAL,IN-GJ,2026-04-05T05:30:00+00:00,2026-04-05T05:30:00+00:00,2026-04-05T09:12:00+00:00,3.7,5.7,FALSE,greenshift/sample-workload:latest,500m,1Gi,30.73
GS-JOB-000083,ETL,data-engineering,HIGH,IN-WB,2026-04-05T07:30:00+00:00,2026-04-05T07:30:00+00:00,2026-04-05T11:17:00+00:00,1.88,8.2,TRUE,greenshift/sample-workload:latest,1000m,2Gi,17.43
GS-JOB-000084,REPORT_GENERATION,ml-platform,MEDIUM,IN-PB,2026-04-05T08:45:00+00:00,2026-04-05T08:45:00+00:00,2026-04-05T11:57:00+00:00,2.42,2.1,TRUE,greenshift/sample-workload:latest,250m,256Mi,6.13
GS-JOB-000085,DATA_PROCESSING,data-engineering,LOW,US-CA,2026-04-05T09:00:00+00:00,2026-04-05T09:00:00+00:00,2026-04-06T05:14:00+00:00,0.6,3.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,1.9
GS-JOB-000086,BACKUP,analytics,MEDIUM,US-NY,2026-04-05T09:00:00+00:00,2026-04-05T09:00:00+00:00,2026-04-06T05:57:00+00:00,0.77,5.6,TRUE,greenshift/sample-workload:latest,500m,1Gi,4.3
GS-JOB-000087,ETL,data-engineering,HIGH,US-TX,2026-04-05T09:15:00+00:00,2026-04-05T09:15:00+00:00,2026-04-05T13:53:00+00:00,2.68,8.1,TRUE,greenshift/sample-workload:latest,1000m,2Gi,26.4
GS-JOB-000088,ETL,data-engineering,MEDIUM,SE,2026-04-05T09:45:00+00:00,2026-04-05T09:45:00+00:00,2026-04-05T20:03:00+00:00,2.72,8.1,TRUE,greenshift/sample-workload:latest,1000m,2Gi,27.57
GS-JOB-000089,REPORT_GENERATION,finance,MEDIUM,AU-SA-Large,2026-04-05T11:30:00+00:00,2026-04-05T11:30:00+00:00,2026-04-05T12:46:12+00:00,1.27,5.6,FALSE,greenshift/sample-workload:latest,500m,1Gi,9.43
GS-JOB-000090,IMAGE_PROCESSING,analytics,CRITICAL,AU-SA-Small,2026-04-05T13:15:00+00:00,2026-04-05T13:15:00+00:00,2026-04-05T19:06:00+00:00,5.85,14.0,FALSE,greenshift/sample-workload:latest,2000m,4Gi,122.58
GS-JOB-000091,ML_TRAINING,ml-platform,LOW,IN-TG,2026-04-05T13:30:00+00:00,2026-04-05T13:30:00+00:00,2026-04-06T04:11:00+00:00,8.4,30.0,TRUE,greenshift/sample-workload:latest,2000m,4Gi,246.4
GS-JOB-000092,BACKUP,operations,LOW,IN-GJ,2026-04-05T14:30:00+00:00,2026-04-05T14:30:00+00:00,2026-04-06T10:54:00+00:00,1.02,5.2,TRUE,greenshift/sample-workload:latest,500m,1Gi,7.02
GS-JOB-000093,BACKUP,finance,MEDIUM,IN-WB,2026-04-05T16:00:00+00:00,2026-04-05T16:00:00+00:00,2026-04-07T05:46:00+00:00,1.92,3.8,TRUE,greenshift/sample-workload:latest,500m,1Gi,7.75
GS-JOB-000094,IMAGE_PROCESSING,analytics,HIGH,IN-PB,2026-04-05T17:45:00+00:00,2026-04-05T17:45:00+00:00,2026-04-05T23:36:00+00:00,1.57,15.5,TRUE,greenshift/sample-workload:latest,2000m,4Gi,28.27
GS-JOB-000095,ETL,analytics,HIGH,US-CA,2026-04-05T18:00:00+00:00,2026-04-05T18:00:00+00:00,2026-04-06T01:15:00+00:00,2.93,8.6,TRUE,greenshift/sample-workload:latest,1000m,2Gi,24.79
GS-JOB-000096,ML_TRAINING,operations,MEDIUM,US-NY,2026-04-05T18:45:00+00:00,2026-04-05T18:45:00+00:00,2026-04-07T17:54:00+00:00,7.15,31.5,TRUE,greenshift/sample-workload:latest,2000m,4Gi,300.88
GS-JOB-000097,ETL,ml-platform,MEDIUM,US-TX,2026-04-05T21:00:00+00:00,2026-04-05T21:00:00+00:00,2026-04-06T15:20:00+00:00,1.65,9.5,TRUE,greenshift/sample-workload:latest,1000m,2Gi,18.89
GS-JOB-000098,DATA_PROCESSING,operations,MEDIUM,SE,2026-04-06T04:45:00+00:00,2026-04-06T04:45:00+00:00,2026-04-06T05:09:00+00:00,0.4,3.5,FALSE,greenshift/sample-workload:latest,500m,1Gi,1.84
GS-JOB-000099,ETL,data-engineering,MEDIUM,AU-SA-Large,2026-04-06T07:00:00+00:00,2026-04-06T07:00:00+00:00,2026-04-06T12:50:00+00:00,2.13,5.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,8.35
GS-JOB-000100,DATA_PROCESSING,operations,LOW,AU-SA-Small,2026-04-06T08:00:00+00:00,2026-04-06T08:00:00+00:00,2026-04-08T05:13:00+00:00,1.22,1.9,TRUE,greenshift/sample-workload:latest,250m,512Mi,2.74
GS-JOB-000101,DATA_PROCESSING,operations,LOW,IN-TG,2026-04-06T08:30:00+00:00,2026-04-06T08:30:00+00:00,2026-04-07T03:06:00+00:00,1.05,2.9,TRUE,greenshift/sample-workload:latest,250m,512Mi,2.53
GS-JOB-000102,ANALYTICS,ml-platform,HIGH,IN-GJ,2026-04-06T08:45:00+00:00,2026-04-06T08:45:00+00:00,2026-04-06T09:43:12+00:00,0.97,4.7,FALSE,greenshift/sample-workload:latest,500m,1Gi,7.01
GS-JOB-000103,ETL,data-engineering,MEDIUM,IN-WB,2026-04-06T09:30:00+00:00,2026-04-06T09:30:00+00:00,2026-04-07T10:34:00+00:00,1.55,5.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,7.72
GS-JOB-000104,DATA_PROCESSING,finance,MEDIUM,IN-PB,2026-04-06T09:45:00+00:00,2026-04-06T09:45:00+00:00,2026-04-06T10:10:48+00:00,0.43,1.7,FALSE,greenshift/sample-workload:latest,250m,512Mi,1.05
GS-JOB-000105,ML_TRAINING,ml-platform,LOW,US-CA,2026-04-06T10:00:00+00:00,2026-04-06T10:00:00+00:00,2026-04-06T21:07:00+00:00,5.42,37.8,TRUE,greenshift/sample-workload:latest,2000m,4Gi,262.57
GS-JOB-000106,DATA_PROCESSING,operations,MEDIUM,US-NY,2026-04-06T10:30:00+00:00,2026-04-06T10:30:00+00:00,2026-04-07T16:36:00+00:00,0.98,2.8,TRUE,greenshift/sample-workload:latest,250m,512Mi,3.18
GS-JOB-000107,REPORT_GENERATION,operations,MEDIUM,US-TX,2026-04-06T11:15:00+00:00,2026-04-06T11:15:00+00:00,2026-04-07T11:41:00+00:00,2.65,3.3,TRUE,greenshift/sample-workload:latest,500m,1Gi,11.14
GS-JOB-000108,BACKUP,finance,LOW,SE,2026-04-06T11:45:00+00:00,2026-04-06T11:45:00+00:00,2026-04-07T16:09:00+00:00,2.67,6.7,TRUE,greenshift/sample-workload:latest,1000m,2Gi,23.81
GS-JOB-000109,ETL,data-engineering,LOW,AU-SA-Large,2026-04-06T13:15:00+00:00,2026-04-06T13:15:00+00:00,2026-04-07T01:11:00+00:00,2.3,9.5,TRUE,greenshift/sample-workload:latest,1000m,2Gi,23.75
GS-JOB-000110,REPORT_GENERATION,finance,LOW,AU-SA-Small,2026-04-06T13:30:00+00:00,2026-04-06T13:30:00+00:00,2026-04-07T20:20:00+00:00,1.42,4.4,TRUE,greenshift/sample-workload:latest,500m,1Gi,5.53
GS-JOB-000111,ML_TRAINING,operations,MEDIUM,IN-TG,2026-04-06T13:30:00+00:00,2026-04-06T13:30:00+00:00,2026-04-06T17:46:12+00:00,4.27,36.9,FALSE,greenshift/sample-workload:latest,2000m,4Gi,201.78
